time_s,ch1_v,ch2_v,ch3_v,ch4_v
8.296000000000002e-05,0.0,0.0,0.0,-0.27181
8.2962e-05,0.0,0.0,0.0,-0.27181
8.2964e-05,0.0,0.0,-859.79,-0.27181
8.2966e-05,8892.1,0.0,-859.79,-0.27181
8.296800000000001e-05,-8892.1,0.0,0.0,0.0
8.297000000000001e-05,0.0,0.0,0.0,-0.27181
8.297200000000002e-05,0.0,0.0,0.0,0.0
8.2974e-05,0.0,2.3158,0.0,-0.27181
8.2976e-05,-8892.1,0.0,-859.79,0.0
8.2978e-05,0.0,0.0,0.0,-0.27181
8.298000000000001e-05,-8892.1,0.0,-859.79,-0.27181
8.298200000000001e-05,0.0,0.0,0.0,-0.27181
8.298400000000002e-05,0.0,0.0,-859.79,-0.27181
8.2986e-05,0.0,-2.3158,0.0,0.0
8.2988e-05,-8892.1,0.0,0.0,0.0
8.299e-05,0.0,0.0,0.0,-0.27181
8.299200000000001e-05,0.0,0.0,0.0,-0.27181
8.299400000000001e-05,0.0,0.0,0.0,-0.27181
8.299600000000002e-05,-8892.1,0.0,0.0,0.0
8.2998e-05,-8892.1,0.0,-859.79,0.0
8.3e-05,0.0,0.0,-859.79,0.0
8.3002e-05,-8892.1,0.0,859.79,0.27181
8.300400000000001e-05,0.0,0.0,0.0,-0.27181
8.300600000000001e-05,0.0,0.0,0.0,0.0
8.300800000000002e-05,0.0,0.0,0.0,0.27181
8.301000000000002e-05,0.0,0.0,0.0,0.0
8.3012e-05,0.0,0.0,0.0,0.0
8.3014e-05,0.0,0.0,0.0,0.0
8.3016e-05,0.0,0.0,0.0,0.0
8.301800000000001e-05,0.0,0.0,-859.79,0.0
8.302000000000001e-05,8892.1,0.0,0.0,0.0
8.302200000000002e-05,0.0,0.0,0.0,-0.27181
8.3024e-05,0.0,0.0,-859.79,-0.27181
8.3026e-05,0.0,0.0,0.0,0.0
8.3028e-05,0.0,0.0,0.0,0.0
8.303000000000001e-05,-8892.1,0.0,0.0,0.0
8.303200000000001e-05,0.0,0.0,0.0,-0.27181
8.303400000000002e-05,0.0,0.0,0.0,0.0
8.3036e-05,0.0,0.0,0.0,0.0
8.3038e-05,-8892.1,-2.3158,859.79,0.0
8.304e-05,0.0,0.0,0.0,0.0
8.304200000000001e-05,-8892.1,0.0,-859.79,-0.27181
8.304400000000001e-05,-8892.1,2.3158,0.0,0.0
8.304600000000002e-05,0.0,0.0,0.0,0.27181
8.3048e-05,-8892.1,0.0,859.79,0.0
8.305e-05,-8892.1,0.0,0.0,0.0
8.3052e-05,-8892.1,0.0,0.0,0.0
8.305400000000001e-05,0.0,2.3158,0.0,0.0
8.305600000000001e-05,0.0,0.0,0.0,0.0
8.305800000000002e-05,0.0,0.0,-859.79,0.0
8.306e-05,0.0,0.0,-859.79,0.0
8.3062e-05,0.0,0.0,859.79,0.0
8.3064e-05,0.0,0.0,-859.79,0.0
8.306600000000001e-05,-8892.1,2.3158,-859.79,0.0
8.306800000000001e-05,0.0,0.0,0.0,-0.27181
8.307000000000002e-05,0.0,0.0,0.0,-0.27181
8.3072e-05,0.0,0.0,-859.79,0.0
8.3074e-05,0.0,0.0,0.0,0.27181
