time_s,ch1_v,ch2_v
-2.7984000000000002e-05,-0.45886,-0.23158
-2.7808000000000002e-05,0.22943,0.46316
-2.7632000000000002e-05,-0.45886,-0.23158
-2.7456000000000003e-05,0.22943,-0.23158
-2.7280000000000003e-05,-0.45886,0.46316
-2.7104000000000003e-05,-0.22943,-0.23158
-2.6927999999999997e-05,0.22943,0.46316
-2.6752000000000004e-05,0.22943,-0.23158
-2.6575999999999998e-05,-0.45886,0.46316
-2.6400000000000005e-05,0.22943,-0.23158
-2.6223999999999998e-05,-0.45886,0.46316
-2.6048000000000005e-05,0.22943,-0.23158
-2.5872e-05,-0.45886,0.46316
-2.5696000000000006e-05,0.22943,-0.23158
-2.552e-05,-0.45886,0.46316
-2.5344000000000007e-05,0.22943,-0.23158
-2.5168e-05,-0.45886,0.46316
-2.4992000000000007e-05,0.22943,-0.23158
-2.4816e-05,-0.45886,0.46316
-2.4640000000000008e-05,0.22943,0.23158
-2.4464e-05,-0.45886,-0.23158
-2.428800000000001e-05,0.22943,0.23158
-2.4112000000000002e-05,-0.45886,-0.23158
-2.3935999999999996e-05,0.22943,0.23158
-2.3760000000000003e-05,-0.45886,-0.23158
-2.3583999999999996e-05,0.22943,0.23158
-2.3408000000000004e-05,-0.45886,-0.23158
-2.3231999999999997e-05,0.22943,0.46316
-2.3056000000000004e-05,-0.22943,-0.23158
-2.2879999999999998e-05,0.22943,0.23158
-2.2704000000000005e-05,-0.22943,-0.23158
-2.2528e-05,0.22943,-0.23158
-2.2352000000000006e-05,-0.45886,0.46316
-2.2176e-05,0.22943,0.23158
-2.2000000000000006e-05,-0.45886,-0.23158
-2.1824e-05,0.22943,-0.23158
-2.1648000000000007e-05,-0.45886,0.46316
-2.1472e-05,0.22943,-0.23158
-2.1296000000000008e-05,-0.45886,0.46316
-2.112e-05,0.22943,-0.23158
-2.0944000000000008e-05,-0.45886,0.46316
-2.0768000000000002e-05,0.22943,0.46316
-2.059200000000001e-05,-0.45886,-0.23158
-2.0416000000000002e-05,0.22943,-0.23158
-2.0239999999999996e-05,-0.45886,0.46316
-2.0064000000000003e-05,0.22943,-0.23158
-1.9887999999999997e-05,-0.45886,0.46316
-1.9712000000000004e-05,-0.22943,0.23158
-1.9535999999999997e-05,0.22943,-0.23158
-1.9360000000000004e-05,-0.22943,-0.23158
-1.9183999999999998e-05,0.22943,0.46316
-1.9008000000000005e-05,0.22943,-0.23158
-1.8832e-05,-0.45886,0.23158
-1.8656000000000006e-05,0.22943,0.23158
-1.848e-05,-0.45886,-0.23158
-1.8304000000000006e-05,0.22943,-0.23158
-1.8128e-05,-0.45886,0.46316
-1.7952000000000007e-05,-0.45886,-0.23158
-1.7776e-05,0.22943,0.46316
-1.7600000000000008e-05,0.22943,0.23158
-1.7424e-05,-0.45886,-0.23158
-1.724800000000001e-05,0.22943,-0.23158
-1.7072000000000002e-05,-0.45886,0.46316
-1.689600000000001e-05,0.22943,0.23158
-1.6720000000000003e-05,-0.45886,-0.23158
-1.6543999999999996e-05,-0.22943,0.46316
-1.6368000000000003e-05,0.22943,-0.23158
-1.6191999999999997e-05,0.22943,0.23158
-1.6016000000000004e-05,-0.45886,-0.23158
-1.5839999999999997e-05,-0.45886,-0.23158
-1.5664000000000005e-05,0.22943,0.46316
-1.5487999999999998e-05,0.22943,0.46316
-1.5312000000000005e-05,-0.45886,-0.23158
-1.5135999999999999e-05,-0.45886,-0.23158
-1.4960000000000006e-05,0.22943,4.16844
-1.4784e-05,0.22943,4.16844
-1.4608000000000007e-05,-0.45886,3.4737
-1.4432e-05,-0.22943,4.16844
-1.4256000000000007e-05,0.22943,-0.23158
-1.408e-05,0.22943,0.46316
-1.3904000000000008e-05,-0.45886,-0.23158
-1.3728000000000001e-05,-0.22943,-0.23158
-1.3552000000000008e-05,0.22943,0.46316
-1.3376000000000002e-05,0.22943,-0.23158
-1.3200000000000009e-05,-0.45886,0.46316
-1.3024000000000003e-05,0.22943,0.46316
-1.2847999999999996e-05,-0.45886,-0.23158
-1.2672000000000003e-05,0.22943,0.46316
-1.2495999999999997e-05,-0.45886,-0.23158
-1.2320000000000004e-05,-0.22943,-0.23158
-1.2143999999999998e-05,0.22943,0.46316
-1.1968000000000005e-05,0.22943,-0.23158
-1.1791999999999998e-05,-0.45886,0.46316
-1.1616000000000005e-05,0.22943,0.46316
-1.1439999999999999e-05,-0.45886,-0.23158
-1.1264000000000006e-05,-0.22943,-0.23158
-1.1088e-05,0.22943,0.46316
-1.0912000000000007e-05,-0.22943,-0.23158
-1.0736e-05,0.22943,0.46316
-1.0560000000000007e-05,0.22943,-0.23158
-1.0384000000000001e-05,-0.45886,0.46316
-1.0208000000000008e-05,0.22943,0.46316
-1.0032000000000002e-05,-0.45886,-0.23158
-9.856000000000009e-06,-0.45886,-0.23158
-9.680000000000002e-06,0.22943,0.46316
-9.50400000000001e-06,0.22943,-0.23158
-9.328000000000003e-06,-0.45886,0.46316
-9.15200000000001e-06,0.22943,-0.23158
-8.976000000000004e-06,-0.45886,0.46316
-8.799999999999997e-06,0.22943,0.46316
-8.624000000000004e-06,-0.45886,-0.23158
-8.447999999999998e-06,-0.22943,0.46316
-8.272000000000005e-06,0.22943,-0.23158
-8.095999999999998e-06,0.22943,0.23158
-7.920000000000005e-06,-0.45886,-0.23158
-7.743999999999999e-06,0.22943,-0.23158
-7.568000000000006e-06,-0.45886,0.46316
-7.392e-06,-0.22943,-0.23158
-7.216000000000007e-06,0.22943,0.46316
-7.04e-06,0.22943,-0.23158
-6.8640000000000075e-06,-0.45886,0.46316
-6.688000000000001e-06,0.22943,-0.23158
-6.512000000000008e-06,-0.45886,0.46316
-6.336000000000002e-06,0.22943,0.46316
-6.160000000000009e-06,-0.45886,-0.23158
-5.984000000000002e-06,0.22943,-0.23158
-5.8080000000000094e-06,-0.45886,0.46316
-5.632000000000003e-06,0.22943,-0.23158
-5.45600000000001e-06,-0.45886,0.46316
-5.280000000000004e-06,0.22943,-0.23158
-5.103999999999997e-06,-0.45886,0.46316
-4.928000000000004e-06,-0.22943,-0.23158
-4.751999999999998e-06,0.22943,0.46316
-4.576000000000005e-06,-0.22943,-0.23158
-4.3999999999999985e-06,0.22943,0.46316
-4.224000000000006e-06,0.22943,-0.23158
-4.047999999999999e-06,-0.45886,0.46316
-3.872000000000006e-06,0.22943,-0.23158
-3.696e-06,-0.45886,0.46316
-3.520000000000007e-06,0.22943,-0.23158
-3.3440000000000005e-06,-0.45886,0.46316
-3.1680000000000076e-06,0.22943,-0.23158
-2.992000000000001e-06,-0.45886,0.46316
-2.8160000000000083e-06,0.22943,0.46316
-2.640000000000002e-06,-0.22943,-0.23158
-2.464000000000009e-06,0.22943,-0.23158
-2.2880000000000025e-06,-0.45886,0.46316
-2.1120000000000096e-06,-0.22943,-0.23158
-1.936000000000003e-06,0.22943,0.46316
-1.7600000000000103e-06,0.22943,-0.23158
-1.5840000000000038e-06,-0.45886,0.46316
-1.4079999999999974e-06,-0.22943,-0.23158
-1.2320000000000045e-06,0.22943,0.46316
-1.055999999999998e-06,0.22943,-0.23158
-8.800000000000051e-07,-0.45886,0.46316
-7.039999999999987e-07,0.22943,0.46316
-5.280000000000058e-07,-0.22943,-0.23158
-3.5199999999999934e-07,-0.45886,-0.23158
-1.7600000000000645e-07,2.2943,0.46316
0.0,2.75316,0.46316
1.759999999999929e-07,11.24207,-0.23158
3.5199999999999934e-07,8.48891,-0.23158
5.279999999999922e-07,9.1772,0.46316
7.039999999999987e-07,8.48891,0.46316
8.799999999999916e-07,9.1772,-0.23158
1.055999999999998e-06,9.1772,-0.23158
1.231999999999991e-06,8.48891,0.46316
1.4079999999999974e-06,9.1772,0.46316
1.5839999999999903e-06,8.48891,-0.23158
1.7599999999999967e-06,9.1772,-0.23158
1.9359999999999896e-06,8.71834,0.46316
2.111999999999996e-06,9.1772,0.46316
2.2880000000000025e-06,8.48891,-0.23158
2.4639999999999954e-06,8.71834,0.23158
2.640000000000002e-06,9.1772,-0.23158
2.8159999999999947e-06,9.1772,-0.23158
2.992000000000001e-06,8.48891,0.46316
3.167999999999994e-06,9.1772,0.23158
3.3440000000000005e-06,8.48891,-0.23158
3.5199999999999934e-06,9.1772,-0.23158
3.696e-06,8.71834,0.46316
3.871999999999993e-06,8.71834,-0.23158
4.047999999999999e-06,9.40663,0.46316
4.223999999999992e-06,9.1772,0.23158
4.3999999999999985e-06,8.48891,-0.23158
4.5759999999999914e-06,8.71834,-0.23158
4.751999999999998e-06,9.40663,0.46316
4.927999999999991e-06,8.71834,-0.23158
5.103999999999997e-06,9.40663,0.46316
5.27999999999999e-06,8.71834,0.46316
5.4559999999999966e-06,9.40663,-0.23158
5.6319999999999894e-06,8.71834,-0.23158
5.807999999999996e-06,9.1772,0.46316
5.984000000000002e-06,8.71834,-0.23158
6.159999999999995e-06,9.40663,0.46316
6.336000000000002e-06,9.1772,-0.23158
6.5119999999999946e-06,8.71834,0.46316
6.688000000000001e-06,8.71834,-0.23158
6.863999999999994e-06,9.40663,0.46316
7.04e-06,9.1772,-0.23158
7.215999999999993e-06,8.71834,0.46316
7.392e-06,9.1772,-0.23158
7.567999999999993e-06,8.71834,0.46316
7.743999999999999e-06,8.71834,-0.23158
7.919999999999992e-06,9.40663,0.46316
8.095999999999998e-06,9.1772,-0.23158
8.271999999999991e-06,8.48891,0.46316
8.447999999999998e-06,8.71834,0.46316
8.62399999999999e-06,9.40663,-0.23158
8.799999999999997e-06,8.71834,0.46316
8.97599999999999e-06,9.40663,-0.23158
9.151999999999996e-06,9.40663,-0.23158
9.32799999999999e-06,8.48891,0.46316
9.503999999999996e-06,8.71834,-0.23158
9.680000000000002e-06,9.1772,0.46316
9.855999999999995e-06,8.71834,-0.23158
1.0032000000000002e-05,9.40663,0.46316
1.0207999999999994e-05,9.1772,-0.23158
1.0384000000000001e-05,8.71834,0.46316
1.0559999999999994e-05,8.71834,-0.23158
1.0736e-05,9.1772,0.46316
1.0911999999999993e-05,8.71834,-0.23158
1.1088e-05,9.40663,0.46316
1.1263999999999992e-05,9.1772,-0.23158
1.1439999999999999e-05,8.71834,0.46316
1.1615999999999992e-05,8.71834,0.46316
1.1791999999999998e-05,9.40663,-0.23158
1.1967999999999991e-05,8.71834,-0.23158
1.2143999999999998e-05,9.40663,0.46316
1.231999999999999e-05,8.71834,0.46316
1.2495999999999997e-05,9.40663,-0.23158
1.267199999999999e-05,8.71834,-0.23158
1.2847999999999996e-05,9.40663,0.46316
1.3023999999999989e-05,9.1772,0.46316
1.3199999999999996e-05,8.71834,-0.23158
1.3376000000000002e-05,9.1772,0.46316
1.3551999999999995e-05,8.71834,-0.23158
1.3728000000000001e-05,8.71834,-0.23158
1.3903999999999994e-05,9.40663,0.46316
1.408e-05,8.71834,0.46316
1.4255999999999994e-05,9.40663,-0.23158
1.4432e-05,8.71834,-0.23158
1.4607999999999993e-05,9.1772,0.46316
1.4784e-05,9.1772,0.46316
1.4959999999999992e-05,8.71834,-0.23158
1.5135999999999999e-05,9.1772,-0.23158
1.531199999999999e-05,8.71834,0.46316
1.5487999999999998e-05,9.1772,0.46316
1.566399999999999e-05,8.71834,-0.23158
1.5839999999999997e-05,9.1772,0.23158
1.601599999999999e-05,8.71834,-0.23158
1.6191999999999997e-05,8.71834,-0.23158
1.636799999999999e-05,9.40663,0.46316
1.6543999999999996e-05,8.71834,0.46316
1.671999999999999e-05,9.40663,-0.23158
1.6895999999999995e-05,9.1772,0.46316
1.707199999999999e-05,8.71834,-0.23158
1.7247999999999995e-05,8.71834,-0.23158
1.7424e-05,9.40663,0.46316
1.7599999999999994e-05,9.1772,-0.23158
1.7776e-05,8.71834,0.46316
1.7951999999999993e-05,8.71834,0.23158
1.8128e-05,9.40663,-0.23158
1.8303999999999993e-05,9.1772,-0.23158
1.848e-05,8.71834,0.46316
1.8655999999999992e-05,8.71834,0.23158
1.8832e-05,9.40663,-0.23158
1.900799999999999e-05,8.71834,-0.23158
1.9183999999999998e-05,9.1772,0.46316
1.935999999999999e-05,9.1772,-0.23158
1.9535999999999997e-05,8.48891,0.46316
1.971199999999999e-05,8.71834,0.46316
1.9887999999999997e-05,9.40663,-0.23158
2.006399999999999e-05,8.71834,-0.23158
2.0239999999999996e-05,9.40663,0.46316
2.041599999999999e-05,8.71834,-0.23158
2.0591999999999995e-05,9.40663,0.46316
2.0767999999999988e-05,8.71834,-0.23158
2.0943999999999995e-05,9.40663,0.46316
2.112e-05,9.1772,-0.23158
2.1295999999999994e-05,8.71834,0.46316
2.1472e-05,9.1772,-0.23158
2.1647999999999993e-05,8.71834,0.46316
2.1824e-05,9.1772,-0.23158
2.1999999999999993e-05,8.48891,0.46316
2.2176e-05,9.1772,-0.23158
2.2351999999999992e-05,8.48891,0.46316
2.2528e-05,8.71834,-0.23158
2.270399999999999e-05,9.40663,0.46316
2.2879999999999998e-05,9.1772,-0.23158
2.305599999999999e-05,8.71834,0.46316
2.3231999999999997e-05,8.71834,-0.23158
2.340799999999999e-05,9.40663,0.46316
2.3583999999999996e-05,9.1772,-0.23158
2.375999999999999e-05,8.48891,0.46316
2.3935999999999996e-05,8.71834,-0.23158
2.411199999999999e-05,9.1772,0.46316
2.4287999999999995e-05,8.71834,0.46316
2.4463999999999988e-05,9.1772,-0.23158
2.4639999999999994e-05,9.1772,-0.23158
2.4816e-05,8.71834,0.46316
2.4991999999999994e-05,9.1772,0.23158
2.5168e-05,8.48891,-0.23158
2.5343999999999993e-05,9.1772,-0.23158
2.552e-05,8.48891,0.46316
2.5695999999999993e-05,8.71834,-0.23158
2.5872e-05,9.40663,0.46316
2.6047999999999992e-05,8.71834,-0.23158
2.6223999999999998e-05,9.40663,0.46316
2.639999999999999e-05,9.1772,-0.23158
2.6575999999999998e-05,8.71834,0.46316
2.675199999999999e-05,9.1772,0.23158
2.6927999999999997e-05,8.71834,-0.23158
2.710399999999999e-05,9.1772,-0.23158
2.7279999999999996e-05,8.48891,0.46316
2.745599999999999e-05,8.71834,0.23158
